image_id,similarity_ranking,result_text_id
Image14001013-8213.jpg,1,Word-1000068274
Image14001013-8213.jpg,2,Word-1000052209
Image14001013-8213.jpg,3,Word-1000088022
Image14001013-8213.jpg,4,Word-1000057381
Image14001013-8213.jpg,5,Word-1000062184
Image14001013-8214.jpg,1,Word-1000079144
Image14001013-8214.jpg,2,Word-1000098681
Image14001013-8214.jpg,3,Word-1000074395
Image14001013-8214.jpg,4,Word-1000067678
Image14001013-8214.jpg,5,Word-1000089219
Image14001013-8238.jpg,1,Word-1000052286
Image14001013-8238.jpg,2,Word-1000075810
Image14001013-8238.jpg,3,Word-1000070697
Image14001013-8238.jpg,4,Word-1000063716
Image14001013-8238.jpg,5,Word-1000069281
Image14001013-8245.jpg,1,Word-1000094337
Image14001013-8245.jpg,2,Word-1000081533
Image14001013-8245.jpg,3,Word-1000056671
Image14001013-8245.jpg,4,Word-1000088218
Image14001013-8245.jpg,5,Word-1000064796
Image14001013-8249.jpg,1,Word-1000083453
Image14001013-8249.jpg,2,Word-1000084726
Image14001013-8249.jpg,3,Word-1000054694
Image14001013-8249.jpg,4,Word-1000056382
Image14001013-8249.jpg,5,Word-1000076911
Image14001013-8261.jpg,1,Word-1000089895
Image14001013-8261.jpg,2,Word-1000056366
Image14001013-8261.jpg,3,Word-1000085479
Image14001013-8261.jpg,4,Word-1000080210
Image14001013-8261.jpg,5,Word-1000072227
Image14001013-8268.jpg,1,Word-1000061174
Image14001013-8268.jpg,2,Word-1000074083
Image14001013-8268.jpg,3,Word-1000099448
Image14001013-8268.jpg,4,Word-1000071671
Image14001013-8268.jpg,5,Word-1000080055
Image14001013-8269.jpg,1,Word-1000074923
Image14001013-8269.jpg,2,Word-1000087751
Image14001013-8269.jpg,3,Word-1000064146
Image14001013-8269.jpg,4,Word-1000074774
Image14001013-8269.jpg,5,Word-1000065024
Image14001013-8309.jpg,1,Word-1000093162
Image14001013-8309.jpg,2,Word-1000067359
Image14001013-8309.jpg,3,Word-1000091123
Image14001013-8309.jpg,4,Word-1000060552
Image14001013-8309.jpg,5,Word-1000070911
Image14001013-8310.jpg,1,Word-1000060917
Image14001013-8310.jpg,2,Word-1000097554
Image14001013-8310.jpg,3,Word-1000050169
Image14001013-8310.jpg,4,Word-1000080821
Image14001013-8310.jpg,5,Word-1000067194
Image14001013-8318.jpg,1,Word-1000098722
Image14001013-8318.jpg,2,Word-1000078280
Image14001013-8318.jpg,3,Word-1000058144
Image14001013-8318.jpg,4,Word-1000053061
Image14001013-8318.jpg,5,Word-1000067463
Image14001013-8333.jpg,1,Word-1000058494
Image14001013-8333.jpg,2,Word-1000058265
Image14001013-8333.jpg,3,Word-1000085718
Image14001013-8333.jpg,4,Word-1000056602
Image14001013-8333.jpg,5,Word-1000067744
Image14001013-8343.jpg,1,Word-1000090969
Image14001013-8343.jpg,2,Word-1000087674
Image14001013-8343.jpg,3,Word-1000075289
Image14001013-8343.jpg,4,Word-1000092174
Image14001013-8343.jpg,5,Word-1000057422
Image14001013-8350.jpg,1,Word-1000086977
Image14001013-8350.jpg,2,Word-1000086922
Image14001013-8350.jpg,3,Word-1000089314
Image14001013-8350.jpg,4,Word-1000073103
Image14001013-8350.jpg,5,Word-1000086546
Image14001013-8352.jpg,1,Word-1000057760
Image14001013-8352.jpg,2,Word-1000089944
Image14001013-8352.jpg,3,Word-1000068812
Image14001013-8352.jpg,4,Word-1000059743
Image14001013-8352.jpg,5,Word-1000075221
Image14001013-8357.jpg,1,Word-1000077506
Image14001013-8357.jpg,2,Word-1000082818
Image14001013-8357.jpg,3,Word-1000065847
Image14001013-8357.jpg,4,Word-1000088846
Image14001013-8357.jpg,5,Word-1000073221
Image14001013-8358.jpg,1,Word-1000051876
Image14001013-8358.jpg,2,Word-1000098491
Image14001013-8358.jpg,3,Word-1000094776
Image14001013-8358.jpg,4,Word-1000079675
Image14001013-8358.jpg,5,Word-1000071726
Image14001013-8360.jpg,1,Word-1000058065
Image14001013-8360.jpg,2,Word-1000074467
Image14001013-8360.jpg,3,Word-1000084911
Image14001013-8360.jpg,4,Word-1000059654
Image14001013-8360.jpg,5,Word-1000064142
Image14001013-8379.jpg,1,Word-1000071941
Image14001013-8379.jpg,2,Word-1000081654
Image14001013-8379.jpg,3,Word-1000081171
Image14001013-8379.jpg,4,Word-1000090239
Image14001013-8379.jpg,5,Word-1000091218
Image14001013-8392.jpg,1,Word-1000071203
Image14001013-8392.jpg,2,Word-1000060771
Image14001013-8392.jpg,3,Word-1000079586
