text_id,similarity_ranking,result_image_id
Word-1000004254,1,Image14001012-5459.jpg
Word-1000004254,2,Image14001010-4892.jpg
Word-1000004254,3,Image14001008-8560.jpg
Word-1000004254,4,Image14001010-7723.jpg
Word-1000004254,5,Image14001011-2958.jpg
Word-1000030077,1,Image14001011-5315.jpg
Word-1000030077,2,Image14001011-5056.jpg
Word-1000030077,3,Image14001009-4739.jpg
Word-1000030077,4,Image14001011-8450.jpg
Word-1000030077,5,Image14001007-9398.jpg
Word-1000048048,1,Image14001008-4388.jpg
Word-1000048048,2,Image14001010-2911.jpg
Word-1000048048,3,Image14001013-1310.jpg
Word-1000048048,4,Image14001011-2718.jpg
Word-1000048048,5,Image14001013-3235.jpg
Word-1000001667,1,Image14001012-9601.jpg
Word-1000001667,2,Image14001012-8241.jpg
Word-1000001667,3,Image14001010-3387.jpg
Word-1000001667,4,Image14001009-8082.jpg
Word-1000001667,5,Image14001012-9339.jpg
Word-1000030741,1,Image14001012-1572.jpg
Word-1000030741,2,Image14001010-0754.jpg
Word-1000030741,3,Image14001011-0237.jpg
Word-1000030741,4,Image14001009-0192.jpg
Word-1000030741,5,Image14001010-7584.jpg
Word-1000013831,1,Image14001012-2979.jpg
Word-1000013831,2,Image14001013-3165.jpg
Word-1000013831,3,Image14001010-1684.jpg
Word-1000013831,4,Image14001012-3961.jpg
Word-1000013831,5,Image14001009-2619.jpg
Word-1000034367,1,Image14001009-3641.jpg
Word-1000034367,2,Image14001012-6015.jpg
Word-1000034367,3,Image14001011-5445.jpg
Word-1000034367,4,Image14001008-4105.jpg
Word-1000034367,5,Image14001010-4777.jpg
Word-1000005894,1,Image14001011-9721.jpg
Word-1000005894,2,Image14001009-2938.jpg
Word-1000005894,3,Image14001010-5717.jpg
Word-1000005894,4,Image14001008-5485.jpg
Word-1000005894,5,Image14001010-9340.jpg
Word-1000045013,1,Image14001007-8229.jpg
Word-1000045013,2,Image14001011-9244.jpg
Word-1000045013,3,Image14001009-4908.jpg
Word-1000045013,4,Image14001013-0898.jpg
Word-1000045013,5,Image14001010-9417.jpg
Word-1000020188,1,Image14001009-6411.jpg
Word-1000020188,2,Image14001011-1920.jpg
Word-1000020188,3,Image14001013-5549.jpg
Word-1000020188,4,Image14001008-7927.jpg
Word-1000020188,5,Image14001009-6815.jpg
Word-1000040179,1,Image14001012-4134.jpg
Word-1000040179,2,Image14001013-5775.jpg
Word-1000040179,3,Image14001012-7111.jpg
Word-1000040179,4,Image14001009-1785.jpg
Word-1000040179,5,Image14001011-4606.jpg
Word-1000007959,1,Image14001007-4491.jpg
Word-1000007959,2,Image14001011-9647.jpg
Word-1000007959,3,Image14001007-5792.jpg
Word-1000007959,4,Image14001012-0439.jpg
Word-1000007959,5,Image14001009-9487.jpg
Word-1000032252,1,Image14001010-1197.jpg
Word-1000032252,2,Image14001007-8526.jpg
Word-1000032252,3,Image14001009-5273.jpg
Word-1000032252,4,Image14001009-3007.jpg
Word-1000032252,5,Image14001011-0288.jpg
Word-1000008494,1,Image14001012-7279.jpg
Word-1000008494,2,Image14001009-3660.jpg
Word-1000008494,3,Image14001009-2211.jpg
Word-1000008494,4,Image14001010-4954.jpg
Word-1000008494,5,Image14001011-1847.jpg
Word-1000008753,1,Image14001009-1912.jpg
Word-1000008753,2,Image14001013-1633.jpg
Word-1000008753,3,Image14001009-9454.jpg
Word-1000008753,4,Image14001007-8493.jpg
Word-1000008753,5,Image14001009-6487.jpg
Word-1000001985,1,Image14001007-8123.jpg
Word-1000001985,2,Image14001011-7167.jpg
Word-1000001985,3,Image14001011-6618.jpg
Word-1000001985,4,Image14001013-3175.jpg
Word-1000001985,5,Image14001013-2567.jpg
Word-1000008899,1,Image14001007-5016.jpg
Word-1000008899,2,Image14001010-7870.jpg
Word-1000008899,3,Image14001008-9236.jpg
Word-1000008899,4,Image14001011-4152.jpg
Word-1000008899,5,Image14001013-1160.jpg
Word-1000010171,1,Image14001007-9848.jpg
Word-1000010171,2,Image14001010-1021.jpg
Word-1000010171,3,Image14001012-8025.jpg
Word-1000010171,4,Image14001011-2929.jpg
Word-1000010171,5,Image14001008-4351.jpg
Word-1000020853,1,Image14001009-7387.jpg
Word-1000020853,2,Image14001007-6466.jpg
Word-1000020853,3,Image14001007-8963.jpg
Word-1000020853,4,Image14001009-4708.jpg
Word-1000020853,5,Image14001010-9007.jpg
